frame,DetObj#,x,y,z,v,snr,noise
0,0,0.6557937264442444,1.4750508069992065,0.0,0.0,192,768
0,1,0.0,3.0103795528411865,0.0,0.0,176,759
0,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,190,789
0,3,-1.6606169939041138,3.4131598472595215,0.0,0.0,152,723
0,4,0.5930774807929993,3.7490756511688232,0.0,0.0,152,723
0,5,-1.4070252180099487,5.449385166168213,0.0,0.0,182,638
0,6,0.0,8.202193260192871,0.0,0.0,214,580
1,0,0.6557937264442444,1.4750508069992065,0.0,0.0,196,764
1,1,0.0,3.0103795528411865,0.0,0.0,183,753
1,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,188,789
1,3,-1.6606169939041138,3.4131598472595215,0.0,0.0,162,716
1,4,0.5930774807929993,3.7490756511688232,0.0,0.0,162,716
1,5,-1.4070252180099487,5.449385166168213,0.0,0.0,188,632
1,6,0.0,8.202193260192871,0.0,0.0,198,583
2,0,0.6557937264442444,1.4750508069992065,0.0,0.0,197,763
2,1,0.0,3.0103795528411865,0.0,0.0,186,750
2,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,190,786
2,3,-1.6606169939041138,3.4131598472595215,0.0,0.0,160,721
2,4,0.5930774807929993,3.7490756511688232,0.0,0.0,160,721
2,5,-1.4070252180099487,5.449385166168213,0.0,0.0,187,633
2,6,0.0,8.202193260192871,0.0,0.0,201,579
3,0,0.6557937264442444,1.4750508069992065,0.0,0.0,197,763
3,1,0.0,3.0103795528411865,0.0,0.0,184,752
3,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,189,789
3,3,-1.6606169939041138,3.4131598472595215,0.0,0.0,157,722
3,4,-1.4070252180099487,5.449385166168213,0.0,0.0,179,640
3,5,0.0,8.202193260192871,0.0,0.0,232,558
4,0,0.6557937264442444,1.4750508069992065,0.0,0.0,194,766
4,1,0.0,3.0103795528411865,0.0,0.0,181,755
4,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,193,785
4,3,-1.6606169939041138,3.4131598472595215,0.0,0.0,162,715
4,4,0.5930774807929993,3.7490756511688232,0.0,0.0,162,715
4,5,-1.4070252180099487,5.449385166168213,0.0,0.0,183,637
4,6,0.0,8.202193260192871,0.0,0.0,237,555
5,0,0.6557937264442444,1.4750508069992065,0.0,0.0,194,766
5,1,0.0,3.0103795528411865,0.0,0.0,179,757
5,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,193,786
5,3,-1.6606169939041138,3.4131598472595215,0.0,0.0,161,720
5,4,0.5930774807929993,3.7490756511688232,0.0,0.0,161,720
5,5,-1.4070252180099487,5.449385166168213,0.0,0.0,177,643
5,6,0.0,8.202193260192871,0.0,0.0,203,593
6,0,0.6557937264442444,1.4750508069992065,0.0,0.0,196,763
6,1,0.0,3.0103795528411865,0.0,0.0,182,754
6,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,189,788
6,3,-1.6606169939041138,3.4131598472595215,0.0,0.0,158,718
6,4,0.5930774807929993,3.7490756511688232,0.0,0.0,158,718
6,5,-1.4070252180099487,5.449385166168213,0.0,0.0,184,633
6,6,0.0,8.202193260192871,0.0,0.0,207,576
7,0,0.6557937264442444,1.4750508069992065,0.0,0.0,192,768
7,1,0.0,3.0103795528411865,0.0,0.0,179,757
7,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,196,785
7,3,-1.6606169939041138,3.4131598472595215,0.0,0.0,153,718
7,4,0.5930774807929993,3.7490756511688232,0.0,0.0,153,718
7,5,-1.4070252180099487,5.449385166168213,0.0,0.0,174,641
7,6,0.0,8.202193260192871,0.0,0.0,225,568
8,0,0.6557937264442444,1.4750508069992065,0.0,0.0,191,768
8,1,0.0,3.0103795528411865,0.0,0.0,181,756
8,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,192,784
8,3,0.46355482935905457,3.679352283477783,0.0,0.0,162,732
8,4,-1.6606169939041138,3.4131598472595215,0.0,0.0,152,720
8,5,0.5930774807929993,3.7490756511688232,0.0,0.0,152,720
8,6,-1.4070252180099487,5.449385166168213,0.0,0.0,181,638
8,7,0.2563185393810272,8.198187828063965,0.0,0.0,208,565
9,0,0.6557937264442444,1.4750508069992065,0.0,0.0,192,767
9,1,0.0,3.0103795528411865,0.0,0.0,181,756
9,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,191,787
9,3,0.5794435143470764,3.6628899574279785,0.0,0.0,162,733
9,4,-1.542001485824585,3.468362808227539,0.0,0.0,157,721
9,5,0.5930774807929993,3.7490756511688232,0.0,0.0,157,721
9,6,-1.4070252180099487,5.449385166168213,0.0,0.0,180,639
9,7,0.0,8.202193260192871,0.0,0.0,229,556
10,0,0.6557937264442444,1.4750508069992065,0.0,0.0,193,767
10,1,0.0,3.0103795528411865,0.0,0.0,180,757
10,2,-0.33539554476737976,3.561796188354492,0.0,0.0,186,790
10,3,0.5794435143470764,3.6628899574279785,0.0,0.0,157,738
10,4,-1.542001485824585,3.468362808227539,0.0,0.0,153,724
10,5,0.5930774807929993,3.7490756511688232,0.0,0.0,153,724
10,6,-1.4070252180099487,5.449385166168213,0.0,0.0,186,631
10,7,-0.2563185393810272,8.198187828063965,0.0,0.0,223,568
11,0,0.6557937264442444,1.4750508069992065,0.0,0.0,197,763
11,1,0.0,3.0103795528411865,0.0,0.0,180,757
11,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,197,777
11,3,0.5794435143470764,3.6628899574279785,0.0,0.0,154,725
11,4,-1.6606169939041138,3.4131598472595215,0.0,0.0,171,706
11,5,0.7116929888725281,3.7283778190612793,0.0,0.0,171,706
11,6,-1.4070252180099487,5.449385166168213,0.0,0.0,183,635
11,7,-1.1861549615859985,6.213963031768799,0.0,0.0,155,634
11,8,0.0,8.202193260192871,0.0,0.0,201,570
11,9,-0.016360757872462273,0.5232885479927063,0.0,-0.36519771814346313,353,500
12,0,0.6557937264442444,1.4750508069992065,0.0,0.0,199,761
12,1,0.0,3.0103795528411865,0.0,0.0,186,752
12,2,-0.22359703481197357,3.5705583095550537,0.0,0.0,190,782
12,3,0.5794435143470764,3.6628899574279785,0.0,0.0,155,731
12,4,-1.542001485824585,3.468362808227539,0.0,0.0,160,714
12,5,-1.4070252180099487,5.449385166168213,0.0,0.0,185,634
12,6,-1.1861549615859985,6.213963031768799,0.0,0.0,160,626
12,7,0.5071834921836853,8.09907054901123,0.0,0.0,161,549
12,8,0.0,8.202193260192871,0.0,0.0,201,545
12,9,0.0,0.5235442519187927,0.0,-0.36519771814346313,372,507
13,0,0.6557937264442444,1.4750508069992065,0.0,0.0,197,763
13,1,0.0,3.0103795528411865,0.0,0.0,182,754
13,2,0.5808069109916687,3.042699098587036,0.0,0.0,205,712
13,3,-0.22359703481197357,3.5705583095550537,0.0,0.0,197,781
13,4,0.5794435143470764,3.6628899574279785,0.0,0.0,152,727
13,5,-1.542001485824585,3.468362808227539,0.0,0.0,166,711
13,6,-1.4070252180099487,5.449385166168213,0.0,0.0,188,633
13,7,-1.1861549615859985,6.213963031768799,0.0,0.0,152,638
13,8,-0.2563185393810272,8.198187828063965,0.0,0.0,173,564
13,9,0.05998944863677025,0.4761514961719513,0.0,-0.36519771814346313,277,613
